file_index,Explicit Mentions,Implicit Mentions,BPD Names,Role Summary,Examples,Importance Score,cles,Entity,Groupe
17,1,3,World Bank,"The document discusses the role of Multilateral Development Banks (MDBs), particularly the World Bank, in using public capital to unlock private investment in climate-related projects. It emphasizes the need for MDBs to reform and focus on deploying catalytic finance mechanisms like guarantees to improve their capital mobilisation ratios. The roles are mainly about facilitating climate finance in emerging and developing markets, addressing investment barriers, and supporting financial market development.","""These reforms are often focused on multilateral development banks (MDBs) like the World Bank.""; ""As the main blenders of public and private capital, MDBs play a critical role in the international financial system...""",3,Blended Finance Taskforce,Blended Finance Taskforce,CSOs and Other Organizations
18,5,3,World Bank,"Les banques publiques de développement (BPD) jouent un rôle crucial dans le financement du développement, notamment à travers le renforcement des banques multilatérales de développement (MDB), l'utilisation des droits de tirage spéciaux (DTS), et l'amélioration de la gouvernance économique mondiale pour augmenter la participation des économies en développement. Elles sont essentielles pour fournir des flux financiers positifs aux pays en développement, surtout face aux vulnérabilités de la dette et aux besoins en investissements climatiques et de développement. Les BDP collaborent avec les banques nationales de développement pour catalyser les transformations structurelles nécessaires au niveau national.","MDB finance should be scaled up through capital adequacy reform measures, innovative financing solutions like hybrid capital, and general capital increases.; FfD4 is also an important opportunity to highlight the synergies that exist between multilateral development banks and regional/national development banks.; Reforms to increase the voice and participation of developing economies have made little progress since 2015.",4,Boston University Global Development Policy Center,Boston University Global Development Policy Center,CSOs and Other Organizations
18,5,3,International Monetary Fund,"Les banques publiques de développement (BPD) jouent un rôle crucial dans le financement du développement, notamment à travers le renforcement des banques multilatérales de développement (MDB), l'utilisation des droits de tirage spéciaux (DTS), et l'amélioration de la gouvernance économique mondiale pour augmenter la participation des économies en développement. Elles sont essentielles pour fournir des flux financiers positifs aux pays en développement, surtout face aux vulnérabilités de la dette et aux besoins en investissements climatiques et de développement. Les BDP collaborent avec les banques nationales de développement pour catalyser les transformations structurelles nécessaires au niveau national.","MDB finance should be scaled up through capital adequacy reform measures, innovative financing solutions like hybrid capital, and general capital increases.; FfD4 is also an important opportunity to highlight the synergies that exist between multilateral development banks and regional/national development banks.; Reforms to increase the voice and participation of developing economies have made little progress since 2015.",4,Boston University Global Development Policy Center,Boston University Global Development Policy Center,CSOs and Other Organizations
18,5,3,asian infrastructure investment bank,"Les banques publiques de développement (BPD) jouent un rôle crucial dans le financement du développement, notamment à travers le renforcement des banques multilatérales de développement (MDB), l'utilisation des droits de tirage spéciaux (DTS), et l'amélioration de la gouvernance économique mondiale pour augmenter la participation des économies en développement. Elles sont essentielles pour fournir des flux financiers positifs aux pays en développement, surtout face aux vulnérabilités de la dette et aux besoins en investissements climatiques et de développement. Les BDP collaborent avec les banques nationales de développement pour catalyser les transformations structurelles nécessaires au niveau national.","MDB finance should be scaled up through capital adequacy reform measures, innovative financing solutions like hybrid capital, and general capital increases.; FfD4 is also an important opportunity to highlight the synergies that exist between multilateral development banks and regional/national development banks.; Reforms to increase the voice and participation of developing economies have made little progress since 2015.",4,Boston University Global Development Policy Center,Boston University Global Development Policy Center,CSOs and Other Organizations
18,5,3,new development bank,"Les banques publiques de développement (BPD) jouent un rôle crucial dans le financement du développement, notamment à travers le renforcement des banques multilatérales de développement (MDB), l'utilisation des droits de tirage spéciaux (DTS), et l'amélioration de la gouvernance économique mondiale pour augmenter la participation des économies en développement. Elles sont essentielles pour fournir des flux financiers positifs aux pays en développement, surtout face aux vulnérabilités de la dette et aux besoins en investissements climatiques et de développement. Les BDP collaborent avec les banques nationales de développement pour catalyser les transformations structurelles nécessaires au niveau national.","MDB finance should be scaled up through capital adequacy reform measures, innovative financing solutions like hybrid capital, and general capital increases.; FfD4 is also an important opportunity to highlight the synergies that exist between multilateral development banks and regional/national development banks.; Reforms to increase the voice and participation of developing economies have made little progress since 2015.",4,Boston University Global Development Policy Center,Boston University Global Development Policy Center,CSOs and Other Organizations
20,1,3,World Bank,"Les banques publiques de développement jouent un rôle central dans la réforme des institutions financières internationales et dans la représentation des pays en développement au sein du FMI et de la Banque Mondiale, dans le but de renforcer la voix des pays du Sud dans la gouvernance économique mondiale. Elles sont également impliquées dans la promotion d'une coopération internationale plus équitable et dans l'établissement de systèmes de financement durables qui soutiennent le développement inclusif et la réduction des inégalités.","Governance reforms at international financial institutions (IFIs) and multilateral development banks (MDBs) are essential to enhance the representation and voice of developing countries, particularly within the IMF and World Bank.",3,Campanha Nacional pelo Direito à Educação,Campanha Nacional pelo Direito à Educação,CSOs and Other Organizations
20,1,3,International Monetary Fund,"Les banques publiques de développement jouent un rôle central dans la réforme des institutions financières internationales et dans la représentation des pays en développement au sein du FMI et de la Banque Mondiale, dans le but de renforcer la voix des pays du Sud dans la gouvernance économique mondiale. Elles sont également impliquées dans la promotion d'une coopération internationale plus équitable et dans l'établissement de systèmes de financement durables qui soutiennent le développement inclusif et la réduction des inégalités.","Governance reforms at international financial institutions (IFIs) and multilateral development banks (MDBs) are essential to enhance the representation and voice of developing countries, particularly within the IMF and World Bank.",3,Campanha Nacional pelo Direito à Educação,Campanha Nacional pelo Direito à Educação,CSOs and Other Organizations
21,0,2,World Bank,"The text discusses the need for reform in the international financial architecture and highlights how multilateral development banks (MDBs), like the World Bank, should focus on increasing lending for SDG investments, mobilizing private capital, and reducing the cost of finance for developing countries. Although not explicitly named apart from a brief mention, these institutions are implied in discussions about international development cooperation, financing reforms, and the mobilization of resources for sustainable development.","""Developing countries have moved away from industrial policy, mainly based on advice from multilateral development banks (MDBs).""; ""Reforming MDBs to focus on meeting SDGs including climate investments.""",3,CEEW,CEEW,CSOs and Other Organizations
22,4,5,International Monetary Fund,"Les Banques Publiques de Développement représentent un soutien clé dans le financement de la pré-crise, c'est-à-dire le financement pré-arrangé (PAF) pour anticiper les chocs, particulièrement les risques climatiques et humanitaires. Elles sont impliquées dans l'élaboration d'instruments financiers visant à atténuer les vulnérabilités des gouvernements aux catastrophes, et dans la promotion d'une préparation financière pour renforcer la résilience. Le texte encourage la collaboration entre les BPD et autres institutions internationales pour créer des incitations neutres pour un financement pré-arrangé efficace et adapté aux besoins des pays.","""Providers of crisis financing should be more transparent about how they are meeting country-led demand and needs, especially for governments facing high debt burdens.""; ""A new international crisis financing system that is prepared to manage responses to large-scale and systemic shocks requires a coordinated response that undertakes system-level surveillance and analysis of future risk and financial preparedness.""",4,Centre for Disaster Protection,Centre for Disaster Protection,CSOs and Other Organizations
22,4,5,World Bank,"Les Banques Publiques de Développement représentent un soutien clé dans le financement de la pré-crise, c'est-à-dire le financement pré-arrangé (PAF) pour anticiper les chocs, particulièrement les risques climatiques et humanitaires. Elles sont impliquées dans l'élaboration d'instruments financiers visant à atténuer les vulnérabilités des gouvernements aux catastrophes, et dans la promotion d'une préparation financière pour renforcer la résilience. Le texte encourage la collaboration entre les BPD et autres institutions internationales pour créer des incitations neutres pour un financement pré-arrangé efficace et adapté aux besoins des pays.","""Providers of crisis financing should be more transparent about how they are meeting country-led demand and needs, especially for governments facing high debt burdens.""; ""A new international crisis financing system that is prepared to manage responses to large-scale and systemic shocks requires a coordinated response that undertakes system-level surveillance and analysis of future risk and financial preparedness.""",4,Centre for Disaster Protection,Centre for Disaster Protection,CSOs and Other Organizations
22,4,5,vulnerability twenty group (v20),"Les Banques Publiques de Développement représentent un soutien clé dans le financement de la pré-crise, c'est-à-dire le financement pré-arrangé (PAF) pour anticiper les chocs, particulièrement les risques climatiques et humanitaires. Elles sont impliquées dans l'élaboration d'instruments financiers visant à atténuer les vulnérabilités des gouvernements aux catastrophes, et dans la promotion d'une préparation financière pour renforcer la résilience. Le texte encourage la collaboration entre les BPD et autres institutions internationales pour créer des incitations neutres pour un financement pré-arrangé efficace et adapté aux besoins des pays.","""Providers of crisis financing should be more transparent about how they are meeting country-led demand and needs, especially for governments facing high debt burdens.""; ""A new international crisis financing system that is prepared to manage responses to large-scale and systemic shocks requires a coordinated response that undertakes system-level surveillance and analysis of future risk and financial preparedness.""",4,Centre for Disaster Protection,Centre for Disaster Protection,CSOs and Other Organizations
23,2,3,International Financial Institutions,"Les banques publiques de d�veloppement (BPD), notamment les institutions financi�res internationales (IFI) et les banques multilat�rales de d�veloppement (BMD), sont principalement mises en avant dans le contexte de la n�cessit� de revoir leur gouvernance et leur mandat pour mieux r�pondre aux besoins de d�veloppement durable. Elles sont encourag�es � �tablir un processus pour examiner leur r�le, leur �chelle et leur fonctionnement afin de s'adapter � l'agenda de d�veloppement durable. Il est particuli�rement soulign� que leur approche ax�e sur le financement priv� et le march� a �t� incoh�rente avec les principes democratiques et le d�veloppement durable, ce qui n�cessite une reforme profonde pour assurer leur r�activit� aux dynamiques nationales et r�gionales.",Recommendation: Agree on a UN intergovernmental process to review and transform the governance and mandate of International Financial Institutions and Multilateral Development Banks.,4,Civil Society FfD Mechanism,Civil Society FfD Mechanism,CSOs and Other Organizations
23,2,3,Multilateral Development Banks,"Les banques publiques de d�veloppement (BPD), notamment les institutions financi�res internationales (IFI) et les banques multilat�rales de d�veloppement (BMD), sont principalement mises en avant dans le contexte de la n�cessit� de revoir leur gouvernance et leur mandat pour mieux r�pondre aux besoins de d�veloppement durable. Elles sont encourag�es � �tablir un processus pour examiner leur r�le, leur �chelle et leur fonctionnement afin de s'adapter � l'agenda de d�veloppement durable. Il est particuli�rement soulign� que leur approche ax�e sur le financement priv� et le march� a �t� incoh�rente avec les principes democratiques et le d�veloppement durable, ce qui n�cessite une reforme profonde pour assurer leur r�activit� aux dynamiques nationales et r�gionales.",Recommendation: Agree on a UN intergovernmental process to review and transform the governance and mandate of International Financial Institutions and Multilateral Development Banks.,4,Civil Society FfD Mechanism,Civil Society FfD Mechanism,CSOs and Other Organizations
24,3,2,Multilateral Development Banks,"Les banques publiques de d\u00e9veloppement (BPD) jouent un r\u00f4le central dans le financement du d\u00e9veloppement durable et l'adaptation au changement climatique. Elles fournissent des financements abordables et \u00e0 long terme aux pays en d\u00e9veloppement, qui sont essentiels pour r\u00e9aliser les Objectifs de d\u00e9veloppement durable (ODD) et faire face aux d\u00e9fis climatiques. Cependant, le niveau actuel de financement des BPD est insuffisant par rapport aux besoins estim\u00e9s de 3 \u00e0 4 billions de dollars n\u00e9cessaires annuellement pour les d\u00e9fis mondiaux de d\u00e9veloppement et de climat. Le texte souligne la n\u00e9cessit\u00e9 d'augmenter les financements concessionnels et de r\u00e9aliser des \u00e9valuations r\u00e9guli\u00e8res des besoins en ressources pour garantir que les BPD puissent r\u00e9pondre \u00e0 la demande croissante de financement \u00e0 l'horizon 2030.",FfD 4 should contribute to the discussions related the urgent need to scale up funding through Multilateral Development Banks (MDBs).; A significant stepwise increase in concessional financing is critical.; Regular resource needs reviews must be conducted to assess financing requirements.,4,Club de Madrid Contributions,Club de Madrid Contributions,CSOs and Other Organizations
24,3,2,International Development Association,"Les banques publiques de d\u00e9veloppement (BPD) jouent un r\u00f4le central dans le financement du d\u00e9veloppement durable et l'adaptation au changement climatique. Elles fournissent des financements abordables et \u00e0 long terme aux pays en d\u00e9veloppement, qui sont essentiels pour r\u00e9aliser les Objectifs de d\u00e9veloppement durable (ODD) et faire face aux d\u00e9fis climatiques. Cependant, le niveau actuel de financement des BPD est insuffisant par rapport aux besoins estim\u00e9s de 3 \u00e0 4 billions de dollars n\u00e9cessaires annuellement pour les d\u00e9fis mondiaux de d\u00e9veloppement et de climat. Le texte souligne la n\u00e9cessit\u00e9 d'augmenter les financements concessionnels et de r\u00e9aliser des \u00e9valuations r\u00e9guli\u00e8res des besoins en ressources pour garantir que les BPD puissent r\u00e9pondre \u00e0 la demande croissante de financement \u00e0 l'horizon 2030.",FfD 4 should contribute to the discussions related the urgent need to scale up funding through Multilateral Development Banks (MDBs).; A significant stepwise increase in concessional financing is critical.; Regular resource needs reviews must be conducted to assess financing requirements.,4,Club de Madrid Contributions,Club de Madrid Contributions,CSOs and Other Organizations
24,3,2,african development fund,"Les banques publiques de d\u00e9veloppement (BPD) jouent un r\u00f4le central dans le financement du d\u00e9veloppement durable et l'adaptation au changement climatique. Elles fournissent des financements abordables et \u00e0 long terme aux pays en d\u00e9veloppement, qui sont essentiels pour r\u00e9aliser les Objectifs de d\u00e9veloppement durable (ODD) et faire face aux d\u00e9fis climatiques. Cependant, le niveau actuel de financement des BPD est insuffisant par rapport aux besoins estim\u00e9s de 3 \u00e0 4 billions de dollars n\u00e9cessaires annuellement pour les d\u00e9fis mondiaux de d\u00e9veloppement et de climat. Le texte souligne la n\u00e9cessit\u00e9 d'augmenter les financements concessionnels et de r\u00e9aliser des \u00e9valuations r\u00e9guli\u00e8res des besoins en ressources pour garantir que les BPD puissent r\u00e9pondre \u00e0 la demande croissante de financement \u00e0 l'horizon 2030.",FfD 4 should contribute to the discussions related the urgent need to scale up funding through Multilateral Development Banks (MDBs).; A significant stepwise increase in concessional financing is critical.; Regular resource needs reviews must be conducted to assess financing requirements.,4,Club de Madrid Contributions,Club de Madrid Contributions,CSOs and Other Organizations
25,1,3,International Monetary Fund,"Les banques publiques de développement (BPD) sont mentionnées dans le texte principalement à travers les institutions financières de développement (DFIs) et autres entités internationales qui jouent un rôle crucial dans le financement des petites et moyennes entreprises (PMEs) dans les marchés émergents. Les BPD offrent des capitaux concessionnels et un soutien technique pour combler les lacunes du financement, stimuler les investissements privés, et favoriser la résilience climatique et numérique des PMEs. Elles sont présentées comme essentielles pour soutenir des solutions de financement innovantes, établir des partenariats stratégiques, et catalyser l'investissement local et international.","Development Finance Institutions (DFIs), bilateral agencies and MLAs are uniquely positioned to address the SGB financing gap through catalytic funding and strategic partnerships.",4,Collaborative for Frontier Finance,Collaborative for Frontier Finance,CSOs and Other Organizations
25,1,3,World Bank,"Les banques publiques de développement (BPD) sont mentionnées dans le texte principalement à travers les institutions financières de développement (DFIs) et autres entités internationales qui jouent un rôle crucial dans le financement des petites et moyennes entreprises (PMEs) dans les marchés émergents. Les BPD offrent des capitaux concessionnels et un soutien technique pour combler les lacunes du financement, stimuler les investissements privés, et favoriser la résilience climatique et numérique des PMEs. Elles sont présentées comme essentielles pour soutenir des solutions de financement innovantes, établir des partenariats stratégiques, et catalyser l'investissement local et international.","Development Finance Institutions (DFIs), bilateral agencies and MLAs are uniquely positioned to address the SGB financing gap through catalytic funding and strategic partnerships.",4,Collaborative for Frontier Finance,Collaborative for Frontier Finance,CSOs and Other Organizations
28,5,3,World Bank,"Les banques publiques de développement (BPD) et institutions financières internationales jouent un rôle crucial dans l'amélioration de l'accès au financement pour les pays en développement, l'alignement des politiques sur les objectifs de développement durable (SDG), et l'intégration des mesures anti-corruption. Elles sont également appelées à renforcer la transparence et l'engagement avec la société civile, notamment en améliorant les termes des prêts et de l'assistance au développement pour soulager le fardeau de la dette des pays en développement.","International financial institutions (IFIs), bilateral donors and public/ private sector banks must adopt a robust approach to synchronize their policies and priorities with the SDGs and the requirements of the United Nations Convention Against Corruption (UNCAC).; The IFIs and the bilateral donors must enhance funding to the developing countries and align their policies and priorities to the SDGs.; IFIs and bilateral donors must improve terms and conditions of loans and development assistance that is offered to the developing countries.",4,CPDI,CPDI,CSOs and Other Organizations
