file_index,Explicit Mentions,Implicit Mentions,BPD Names,Role Summary,Examples,Importance Score,cles,Entity,Groupe,nb_tokens
10,0,3,,"Le texte traite principalement de la gestion des actifs comme une condition préalable pour le financement du développement d'infrastructures durables, sans mentionner explicitement les banques publiques de développement (BPD). Toutefois, les BPD peuvent être implicitement impliquées comme institutions de financement requérant des plans de gestion des actifs lors de l'octroi de financements pour garantir que les investissements dans les infrastructures soient bien planifiés, maintenus et réussissent à atteindre leurs objectifs. Le texte mentionne que les politiques d'Asset Management doivent être intégrées dans tous les financements de développement durable, ce qui pourrait sous-entendre le rôle des BPD dans l'établissement de telles conditions pour accroître le succès des investissements.",Le texte ne contient pas de phrases spécifiques mentionnant explicitement les BPD.,2,Asset Leadership Network,Asset Leadership Network,CSOs and Other Organizations,143
11,0,1,,"The role of BPDs is implied in the text through discussions on international development cooperation and the use of financing mechanisms like debt-for-technology swaps, which can suggest the involvement of multilateral development banks in supporting financial systems that aim to reduce inequality and promote sustainable development. The text also mentions the potential enhancement of the role of multilateral development banks (MDBs) without naming them explicitly as part of a goal to serve future financial systems that focus on inclusivity and resilience.","The text implicitly suggests roles for BPDs through development cooperation and capacity building in technology and finance, potentially involving MDBs.; The idea of innovative financing instruments such as debt-for-technology swaps implies BPD involvement.; References to supporting global data-sharing platforms may involve MDBs.",2,Association for Computing Machinery,Association for Computing Machinery,CSOs and Other Organizations,95
12,0,3,,"Le texte ne mentionne pas explicitement les banques publiques de développement (BPD). Cependant, il évoque des rôles qui pourraient leur être liés, tels que le financement de projets axés sur la dignité humaine, la durabilité et la justice sociale. Les BPD pourraient être impliquées dans le financement de projets de développement durable, la facilitation de l'annulation de la dette pour l'investissement dans les infrastructures durables et la collaboration avec des entreprises privées pour des financements réparateurs.",This model leverages the UN's global presence and resources ensuring small private donors can trust the projects they support while staying informed on progress.; Debt Relief for Sustainable Investment: Advocate for debt cancellation for countries that invest in sustainable infrastructure.,2,Athletes United for Peace,Athletes United for Peace,CSOs and Other Organizations,102
13,0,3,,"Les BPD ne sont pas mentionnées explicitement dans le texte mais sont implicitement reconnues dans les discussions sur l'alignement des ressources avec les priorités locales de développement par les institutions multilaterales, les banques de développement et les fournisseurs d'Aide Publique au Développement (APD). Les BPD sont envisagées comme des acteurs potentiels pour mieux coordonner l'investissement dans les réformes fiscales dans des pays en voie de développement, soutien à des initiatives anti-corruption, gestion des finances publiques (PFM) et la lutte contre le blanchiment d'argent.","""The FFD4 should call on multilateral institutions, development banks, and ODA providers to better align their resources with local development priorities, ensuring that investments in tax reforms have a meaningful and lasting impact.""",2,ATI,ATI,CSOs and Other Organizations,120
14,2,3,"World Bank, World Bank","Les banques publiques de développement (BPD) comme la Banque Mondiale sont mentionnées dans le contexte de partenariats public-privé (PPP) et de financements mixtes, jouant un rôle crucial dans le soutien des investissements privés dans les infrastructures sociales et physiques. Le texte souligne que les BPD permettent de diminuer les risques d'investissement privé mais mettent aussi en lumière les risques fiscaux et les obligations financières à long terme que ces partenariats induisent pour les gouvernements.","In Lesotho, the private sector partner in a hospital PPP project – supported by the World Bank Group – provided less than 1 percent of the total up-front capital cost for the project.; The World Bank Group’s (WBG) Public – Private Infrastructure Advisory Facility (PPIAF) so far has funded more than 1,700 development projects in more than 130 countries worldwide.",3,Bayliss Chukwuma_ Gideo Romero,Bayliss Chukwuma_ Gideo Romero,CSOs and Other Organizations,101
15,1,3,bilbao bizkaia kutxa foundation,"The text discusses the role of development financial foundations like the Bilbao Bizkaia Kutxa Foundation in supporting sustainable development at the local level. It highlights how these institutions can provide critical resources, including soft financing, to support transformative impacts on sustainable development within territories. The foundations play a crucial role in integrating social and environmental impacts into financial projects, reducing investment risks, and fostering collaboration among local actors to enhance community resilience and competitiveness.","Bilbao Bizkaia Kutxa Foundation is a Financial Foundation, owner of a financial banking business, whose main mandate is to guarantee social cohesion, competitiveness and prosperity in the territory of Bilbao and Bizkaia.",3,ENG,BBK Fundazioa_ENG,CSOs and Other Organizations,84
16,0,3,,"Les BPD, bien qu'elles ne soient pas mentionnées explicitement, sont impliquées dans le contexte global de la facilitation de la mobilisation des ressources financières vers le développement durable. Le texte met l'accent sur l'importance de l'inclusion des dimensions locale et territoriale dans le processus de financement du développement, ce qui est un rôle souvent joué par les BPD. L'idée est de renforcer les capacités locales pour mobiliser des ressources financières de manière stratégique, y compris par des mécanismes de financement innovants et une meilleure intégration des PME dans les systèmes de financement. Ces rôles impliquent indirectement les BPD qui opèrent souvent à l'intersection de la finance publique et privée au niveau local et national.","""Proponemos movilizar todo el 'know how' de instituciones filantrópicas movilicen recursos financieros para el desarrollo sostenible a nivel local...""; ""Un impacto trascendental para poder localizar la Agenda de Financiación para el Desarrollo será el de trabajar para generar mecanismos de financiación innovadores a nivel local...""; ""...proponemos que se destaque en los debates de la Conferencia FfD4 el papel crítico que las Fundaciones Financieras puedan jugar...""",3,ESP,BBK Fundazioa_ESP,CSOs and Other Organizations,148
17,1,3,World Bank,"The document discusses the role of Multilateral Development Banks (MDBs), particularly the World Bank, in using public capital to unlock private investment in climate-related projects. It emphasizes the need for MDBs to reform and focus on deploying catalytic finance mechanisms like guarantees to improve their capital mobilisation ratios. The roles are mainly about facilitating climate finance in emerging and developing markets, addressing investment barriers, and supporting financial market development.","""These reforms are often focused on multilateral development banks (MDBs) like the World Bank.""; ""As the main blenders of public and private capital, MDBs play a critical role in the international financial system...""",3,Blended Finance Taskforce,Blended Finance Taskforce,CSOs and Other Organizations,81
18,5,3,"World Bank, International Monetary Fund, asian infrastructure investment bank, new development bank","Les banques publiques de développement (BPD) jouent un rôle crucial dans le financement du développement, notamment à travers le renforcement des banques multilatérales de développement (MDB), l'utilisation des droits de tirage spéciaux (DTS), et l'amélioration de la gouvernance économique mondiale pour augmenter la participation des économies en développement. Elles sont essentielles pour fournir des flux financiers positifs aux pays en développement, surtout face aux vulnérabilités de la dette et aux besoins en investissements climatiques et de développement. Les BDP collaborent avec les banques nationales de développement pour catalyser les transformations structurelles nécessaires au niveau national.","MDB finance should be scaled up through capital adequacy reform measures, innovative financing solutions like hybrid capital, and general capital increases.; FfD4 is also an important opportunity to highlight the synergies that exist between multilateral development banks and regional/national development banks.; Reforms to increase the voice and participation of developing economies have made little progress since 2015.",4,Boston University Global Development Policy Center,Boston University Global Development Policy Center,CSOs and Other Organizations,127
19,0,2,,"Bien que le texte ne mentionne pas explicitement les banques publiques de développement (BPD), il discute indirectement de leur rôle potentiel dans le financement du développement et de l'adaptation climatique. Les BPD pourraient jouer un rôle clé en améliorant la mobilisation des ressources domestiques et internationales pour soutenir les réformes fiscales inclusives et le financement climatique. Elles pourraient également contribuer à l'intégration de l'équité de genre dans les systèmes fiscaux et au soutien des soins, considérés comme des biens publics mondiaux.","Domestic revenue mobilisation (DRM) is key to financing progressive public expenditures that reduce poverty and inequality.; The climate change crisis and care deficits cannot be solved in silos, as has been the case to date. A ""big push"" for public investment requires strong state capacity and coordinated approaches.",3,Brookings Institute,Brookings Institute,CSOs and Other Organizations,106
20,1,3,"World Bank, International Monetary Fund","Les banques publiques de développement jouent un rôle central dans la réforme des institutions financières internationales et dans la représentation des pays en développement au sein du FMI et de la Banque Mondiale, dans le but de renforcer la voix des pays du Sud dans la gouvernance économique mondiale. Elles sont également impliquées dans la promotion d'une coopération internationale plus équitable et dans l'établissement de systèmes de financement durables qui soutiennent le développement inclusif et la réduction des inégalités.","Governance reforms at international financial institutions (IFIs) and multilateral development banks (MDBs) are essential to enhance the representation and voice of developing countries, particularly within the IMF and World Bank.",3,Campanha Nacional pelo Direito à Educação,Campanha Nacional pelo Direito à Educação,CSOs and Other Organizations,93
21,0,2,World Bank,"The text discusses the need for reform in the international financial architecture and highlights how multilateral development banks (MDBs), like the World Bank, should focus on increasing lending for SDG investments, mobilizing private capital, and reducing the cost of finance for developing countries. Although not explicitly named apart from a brief mention, these institutions are implied in discussions about international development cooperation, financing reforms, and the mobilization of resources for sustainable development.","""Developing countries have moved away from industrial policy, mainly based on advice from multilateral development banks (MDBs).""; ""Reforming MDBs to focus on meeting SDGs including climate investments.""",3,CEEW,CEEW,CSOs and Other Organizations,87
22,4,5,"International Monetary Fund, World Bank, vulnerability twenty group (v20)","Les Banques Publiques de Développement représentent un soutien clé dans le financement de la pré-crise, c'est-à-dire le financement pré-arrangé (PAF) pour anticiper les chocs, particulièrement les risques climatiques et humanitaires. Elles sont impliquées dans l'élaboration d'instruments financiers visant à atténuer les vulnérabilités des gouvernements aux catastrophes, et dans la promotion d'une préparation financière pour renforcer la résilience. Le texte encourage la collaboration entre les BPD et autres institutions internationales pour créer des incitations neutres pour un financement pré-arrangé efficace et adapté aux besoins des pays.","""Providers of crisis financing should be more transparent about how they are meeting country-led demand and needs, especially for governments facing high debt burdens.""; ""A new international crisis financing system that is prepared to manage responses to large-scale and systemic shocks requires a coordinated response that undertakes system-level surveillance and analysis of future risk and financial preparedness.""",4,Centre for Disaster Protection,Centre for Disaster Protection,CSOs and Other Organizations,128
23,2,3,"International Financial Institutions, Multilateral Development Banks","Les banques publiques de d�veloppement (BPD), notamment les institutions financi�res internationales (IFI) et les banques multilat�rales de d�veloppement (BMD), sont principalement mises en avant dans le contexte de la n�cessit� de revoir leur gouvernance et leur mandat pour mieux r�pondre aux besoins de d�veloppement durable. Elles sont encourag�es � �tablir un processus pour examiner leur r�le, leur �chelle et leur fonctionnement afin de s'adapter � l'agenda de d�veloppement durable. Il est particuli�rement soulign� que leur approche ax�e sur le financement priv� et le march� a �t� incoh�rente avec les principes democratiques et le d�veloppement durable, ce qui n�cessite une reforme profonde pour assurer leur r�activit� aux dynamiques nationales et r�gionales.",Recommendation: Agree on a UN intergovernmental process to review and transform the governance and mandate of International Financial Institutions and Multilateral Development Banks.,4,Civil Society FfD Mechanism,Civil Society FfD Mechanism,CSOs and Other Organizations,184
24,3,2,"Multilateral Development Banks, International Development Association, african development fund","Les banques publiques de d\u00e9veloppement (BPD) jouent un r\u00f4le central dans le financement du d\u00e9veloppement durable et l'adaptation au changement climatique. Elles fournissent des financements abordables et \u00e0 long terme aux pays en d\u00e9veloppement, qui sont essentiels pour r\u00e9aliser les Objectifs de d\u00e9veloppement durable (ODD) et faire face aux d\u00e9fis climatiques. Cependant, le niveau actuel de financement des BPD est insuffisant par rapport aux besoins estim\u00e9s de 3 \u00e0 4 billions de dollars n\u00e9cessaires annuellement pour les d\u00e9fis mondiaux de d\u00e9veloppement et de climat. Le texte souligne la n\u00e9cessit\u00e9 d'augmenter les financements concessionnels et de r\u00e9aliser des \u00e9valuations r\u00e9guli\u00e8res des besoins en ressources pour garantir que les BPD puissent r\u00e9pondre \u00e0 la demande croissante de financement \u00e0 l'horizon 2030.",FfD 4 should contribute to the discussions related the urgent need to scale up funding through Multilateral Development Banks (MDBs).; A significant stepwise increase in concessional financing is critical.; Regular resource needs reviews must be conducted to assess financing requirements.,4,Club de Madrid Contributions,Club de Madrid Contributions,CSOs and Other Organizations,267
25,1,3,"International Monetary Fund, World Bank","Les banques publiques de développement (BPD) sont mentionnées dans le texte principalement à travers les institutions financières de développement (DFIs) et autres entités internationales qui jouent un rôle crucial dans le financement des petites et moyennes entreprises (PMEs) dans les marchés émergents. Les BPD offrent des capitaux concessionnels et un soutien technique pour combler les lacunes du financement, stimuler les investissements privés, et favoriser la résilience climatique et numérique des PMEs. Elles sont présentées comme essentielles pour soutenir des solutions de financement innovantes, établir des partenariats stratégiques, et catalyser l'investissement local et international.","Development Finance Institutions (DFIs), bilateral agencies and MLAs are uniquely positioned to address the SGB financing gap through catalytic funding and strategic partnerships.",4,Collaborative for Frontier Finance,Collaborative for Frontier Finance,CSOs and Other Organizations,131
26,0,0,,"The text does not explicitly mention development finance institutions or public development banks. It primarily focuses on the roles of National Statistical Offices and the importance of data governance, capacity-building, and investment in statistical systems for sustainable development.",,1,Collaborative on Administrative Data,Collaborative on Administrative Data,CSOs and Other Organizations,43
27,0,3,,"The text implicitly discusses the roles of entities, potentially including BPDs, in fostering collaboration between state and non-state institutions to create integrated data ecosystems. These institutions are suggested to leverage citizen data to enhance the quality and accessibility of data, supporting evidence-based policy-making especially in the areas of sustainable development and financing for development. This suggests a role for development banks, even if not explicitly named, in funding and encouraging projects that strengthen national data systems and enhance integrative efforts for holistic improvements in data-driven decisions.","Member States should review the allocation of global funding for data and statistics to prioritize and incentivize projects that support integrated, cross-system enhancements of national data and statistical systems.; International development cooperation should aim to strengthen collaboration between state and non-state institutions to create integrated data ecosystems, leveraging each other’s expertise.",3,Collaborative on Citizen Data,Collaborative on Citizen Data,CSOs and Other Organizations,101
28,5,3,"World Bank, bilateral donors, public banks, International Financial Institutions","Les banques publiques de développement (BPD) et institutions financières internationales jouent un rôle crucial dans l'amélioration de l'accès au financement pour les pays en développement, l'alignement des politiques sur les objectifs de développement durable (SDG), et l'intégration des mesures anti-corruption. Elles sont également appelées à renforcer la transparence et l'engagement avec la société civile, notamment en améliorant les termes des prêts et de l'assistance au développement pour soulager le fardeau de la dette des pays en développement.","International financial institutions (IFIs), bilateral donors and public/ private sector banks must adopt a robust approach to synchronize their policies and priorities with the SDGs and the requirements of the United Nations Convention Against Corruption (UNCAC).; The IFIs and the bilateral donors must enhance funding to the developing countries and align their policies and priorities to the SDGs.; IFIs and bilateral donors must improve terms and conditions of loans and development assistance that is offered to the developing countries.",4,CPDI,CPDI,CSOs and Other Organizations,107
29,1,3,World Bank,"The World Bank is explicitly mentioned as part of the Data For Now initiative, working on capacity development activities related to data and statistics, which are crucial for sustainable development and economic planning. Implicitly, development banks may also play a role in supporting statistical systems, enhancing transparency, and coordinating data-driven development efforts.","The World Bank is part of the core members of the Data For Now initiative, focusing on capacity development activities on data and statistics.",3,Data for Now,Data for Now,CSOs and Other Organizations,62
30,5,4,"Multilateral Development Banks, development finance institutions, european bank for reconstruction and development, European Investment Bank","Dans le texte, les banques publiques de développement sont mentionnées principalement dans le cadre de leur rôle potentiel et existant dans la promotion et le financement du développement durable et des droits de l'homme. Les BPD, incluant notamment les banques de développement multilatérales (BMD) et les institutions de finance du développement (IDF), sont vues comme des acteurs clés dans l'alignement des standards de durabilité à l'échelle internationale, particulièrement en lien avec les droits de l'homme et les normes environnementales. Le texte met en lumière le besoin d'une meilleure cohérence des politiques entre les BPD et les législations de durabilité locales et internationales, et souligne leur influence sur l'adoption et la mise en œuvre des normes de durabilité dans le Sud global.","The Institute analysed this disconnect in the context of development finance institutions (DFIs) in a 2021 report.; Finally, the backdrop for this contribution is the wide recognition...; ...in the different approaches taken to corporate sustainability reporting policies and initiatives.; The document final of the FfD 4 is an opportunity for...; ... the importance of policy coherence...",4,DIHR,DIHR,CSOs and Other Organizations,158
31,0,1,,"The text implicitly discusses the roles of public financing mechanisms and international cooperation frameworks that are commonly associated with the functions of Public Development Banks (PDBs). It suggests the need for the creation of inclusive financial products that are equitable and sustainable, aligning with the aims of achieving the SDGs. The focus is on leveraging public funds through instruments like blended finance to attract private capital towards sustainable development initiatives, and on enhancing official development assistance (ODA) directed at least developed countries (LDCs) and vulnerable populations. These concepts often involve PDBs as pivotal actors in such financial structuring and implementation processes.","""This framework should encourage innovation in financing instruments, products, and mechanisms that can leverage new technologies and financial instruments to mobilize additional resources for sustainable development. Examples of recent innovations that may help close the financing gap are blended finance, impact investing, and digital financial services.""; ""Blended finance should be strategically leveraged to encourage much-needed private capital in areas critical to attaining the SDGs.""",2,DMUN,DMUN,CSOs and Other Organizations,120
32,0,1,,"Dans le texte, le rôle des banques publiques de développement (BPD) est implicitement relié à la facilitation et au financement des biens publics numériques ainsi qu'à l'infrastructure publique numérique. Les BPD peuvent jouer un rôle dans la redirection du financement du développement vers des technologies ouvertes et interopérables qui soutiennent l'infrastructure numérique publique et permettent de répondre aux besoins de développement durable à long terme.",,2,DPGA,DPGA,CSOs and Other Organizations,85
33,0,2,"bank for international settlements, monetary authority of singapore","The text discusses various roles in the financial and climate-related contexts without explicitly mentioning public development banks. However, it implicitly references multilateral efforts and the involvement of financial institutions in climate risk management and mitigation, including the importance of both public and private partnerships in financing initiatives related to climate change. It notes the complexity of pricing CO2 emissions and the role of financial oversight bodies, like the Basel Committee on Banking Supervision, in establishing guidelines that could impact institutional practices regarding climate-related financial risks.","""market participants when interested in to manage and to mitigate risks (i.e., expected losses) on their cash-flow related and non-cash-flow related investments""; ""public-private partnership in financing that is synergistic not duplicative. We need to make every dollar of public capital count. We need blended finance.""",2,Dr_ Sauer Consulting,Dr_ Sauer Consulting,CSOs and Other Organizations,97
34,8,5,"edfi, proparco, fmo, edfi management company, bii, bio, cofides, deg, finnfund, ifu, norfund, oeeb, sifem, simest, cdp development finance, sofid, swedfund","Les banques publiques de développement (BPD) et les institutions de financement du développement (DFI) sont présentées dans le texte principalement comme des catalyseurs pour la mobilisation de capitaux privés, en particulier à travers l'utilisation d'instruments de financement du secteur privé (PSI) dans les pays à faible et moyen revenu. Elles sont impliquées dans la réforme de l'architecture financière internationale pour renforcer le soutien au secteur privé dans les économies en développement, en surmontant les défis liés à l'absorption de flux de capitaux privés, aux profils de risque et aux régimes réglementaires. Les BPD telles que les membres de l'EDFI, jouent également un rôle important dans la standardisation, la création d'infrastructures de marchés financiers locaux, la promotion de standards environnementaux et sociaux harmonisés, et le développement d'approches pour mobiliser davantage de capitaux pour les Objectifs de développement durable (ODD) et l'action climatique. Elles participent également à l'élaboration de réglementations financières durables adaptées aux contextes des pays en développement en collaboration avec les pouvoirs publics et d'autres acteurs du développement.","""Since FfD3, DFIs have designed and tested various approaches to bring private capital—alongside their own capital—into their transactions.""; ""EDFI welcomes the chance to provide its thought on this essential discussion on the future of financing for development.""; ""Concessional finance can be part of the solution and address points (i) and (ii), by supporting the emergence of investable, impactful companies to absorb additional capital.""; ""DFIs and MDBs have been at the forefront of promoting strong, harmonised social and environmental standards for private sector investments in low- and middle-income countries (LMICs).""",4,EDFI,EDFI,CSOs and Other Organizations,232
35,1,3,,"The text does not explicitly mention any specific public development banks (BPDs) by name but implicitly touches on the roles these institutions might play in development finance. Public development banks are likely involved in providing international development cooperation and financial support to countries, specifically in the context of supporting sustainable education funding and addressing systemic financial issues like debt distress. The role of soliciting increased and sustainable financing for public services such as education across the globe may fall within the remit of development banks, indirectly contributing to achieving education goals and other Sustainable Development Goals (SDGs).","""International development cooperation is crucial to reach SDG 4.""; ""An effective and just global financing framework should start by offering debt forgiveness and relief to countries in debt distress.""; ""Global financing structures must support this aim.""",2,EI,EI,CSOs and Other Organizations,109
36,0,0,,"Le texte discute principalement des politiques de transparence et de divulgation d'informations dans le contexte de l'extraction et de la transition \\u00e9nerg\\u00e9tique, mais ne mentionne pas explicitement les banques publiques de d\\u00e9veloppement. La concentration est sur la n\\u00e9cessit\\u00e9 de transparence, de responsabilisation et de lutte contre la corruption dans les secteurs extractifs et \u00e9nerg\u00e9tiques, \\u00e0 travers des institutions comme l'EITI. Aucune r\\u00f4le direct n'est d\\u00e9riv\\u00e9 pour les BPD puisque pr\u00e9isesment mentionn\\u00e9es dans le texte.",,1,EITI,EITI,CSOs and Other Organizations,170
37,5,7,"public development banks, Multilateral Development Banks, idfc, natixis","Les banques publiques de développement (BPD) jouent un rôle crucial dans l'alignement des flux financiers avec les objectifs de développement durable (ODD). Elles sont identifiées comme des acteurs clés dans l'opérationnalisation et la promotion de cet alignement par l'intermédiaire de leurs expériences concrètes. Les BPD collaborent également avec des plateformes internationales pour améliorer l'efficience et l'efficacité des ressources financières. Elles sont impliquées dans les réformes visant à redresser les vulnérabilités structurelles, assurer la durabilité à long terme des investissements et encourager la coopération internationale autour des mécanismes de finance durable.","There are already numerous examples of operationalizing and promoting SDG alignment, particularly within the framework of Public Development Banks (PDBs), and FfD4 should build on these...; Existing cases demonstrate that aligning financial flows with SDGs is not only possible but also effective...",4,ETTG,ETTG,CSOs and Other Organizations,130
38,0,0,,"Le texte ne mentionne pas directement les banques publiques de d\u00e9veloppement (BPD), et ne leur attribue donc pas de r\u00f4les explicites ou implicites. L'accent est mis sur la transparence financi\u00e8re, la coop\u00e9ration fiscale internationale, et la lutte contre les flux financiers illicites. Ces th\u00e9matiques pourraient faire partie des objectifs strat\u00e9giques des BPD, mais elles ne sont pas li\u00e9es explicitement\u00a0aux BPD dans ce texte.",,1,FACT Coalition,FACT Coalition,CSOs and Other Organizations,126
